ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
giraffe,dog,cow,sheep,hog,elephant,bear,snail,spider,"['stim5', 'stim6', 'stim2', 'stim1', 'stim3', 'stim4', 'stim7', 'stim8']","['elephant', 'bear', 'cow', 'dog', 'sheep', 'hog', 'snail', 'spider']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
snake,cat,hog,turkey,crocodile,eagle,elephant,bear,lizard,"['stim8', 'stim4', 'stim2', 'stim3', 'stim6', 'stim1', 'stim5', 'stim7']","['lizard', 'crocodile', 'hog', 'turkey', 'elephant', 'cat', 'eagle', 'bear']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
frog,horse,whale,dolphin,duck,giraffe,ant,turtle,pigeon,"['stim7', 'stim6', 'stim4', 'stim3', 'stim2', 'stim8', 'stim5', 'stim1']","['turtle', 'ant', 'duck', 'dolphin', 'whale', 'pigeon', 'giraffe', 'horse']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
goat,lizard,tiger,dog,pigeon,fox,shark,monkey,snake,"['stim5', 'stim3', 'stim7', 'stim2', 'stim1', 'stim4', 'stim8', 'stim6']","['fox', 'dog', 'monkey', 'tiger', 'lizard', 'pigeon', 'snake', 'shark']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
sparrow,tiger,sheep,duck,crocodile,ant,frog,lizard,cow,"['stim3', 'stim7', 'stim6', 'stim2', 'stim8', 'stim4', 'stim5', 'stim1']","['duck', 'lizard', 'frog', 'sheep', 'cow', 'crocodile', 'ant', 'tiger']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
whale,sheep,goldfish,goat,ladybug,bear,monkey,eagle,crocodile,"['stim5', 'stim6', 'stim3', 'stim1', 'stim8', 'stim2', 'stim4', 'stim7']","['bear', 'monkey', 'goat', 'sheep', 'crocodile', 'goldfish', 'ladybug', 'eagle']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
ant,hog,cat,whale,monkey,cow,sparrow,snail,dog,"['stim7', 'stim1', 'stim8', 'stim5', 'stim2', 'stim6', 'stim4', 'stim3']","['snail', 'hog', 'dog', 'cow', 'cat', 'sparrow', 'monkey', 'whale']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
whale,crocodile,bluebird,snake,elephant,tiger,sparrow,goat,frog,"['stim4', 'stim5', 'stim7', 'stim1', 'stim8', 'stim3', 'stim6', 'stim2']","['elephant', 'tiger', 'goat', 'crocodile', 'frog', 'snake', 'sparrow', 'bluebird']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
rat,duck,tiger,fox,sparrow,bluebird,dog,lizard,crocodile,"['stim4', 'stim5', 'stim6', 'stim3', 'stim2', 'stim1', 'stim7', 'stim8']","['sparrow', 'bluebird', 'dog', 'fox', 'tiger', 'duck', 'lizard', 'crocodile']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
turkey,owl,dolphin,sparrow,cow,dog,lizard,butterfly,goat,"['stim1', 'stim3', 'stim7', 'stim4', 'stim5', 'stim8', 'stim6', 'stim2']","['owl', 'sparrow', 'butterfly', 'cow', 'dog', 'goat', 'lizard', 'dolphin']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
