ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
dog,bear,elephant,lizard,eagle,frog,butterfly,giraffe,bluebird,"['stim2', 'stim7', 'stim1', 'stim3', 'stim5', 'stim4', 'stim8', 'stim6']","['elephant', 'giraffe', 'bear', 'lizard', 'frog', 'eagle', 'bluebird', 'butterfly']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
shark,owl,spider,cat,sheep,whale,rat,pigeon,frog,"['stim5', 'stim3', 'stim4', 'stim8', 'stim1', 'stim6', 'stim2', 'stim7']","['whale', 'cat', 'sheep', 'frog', 'owl', 'rat', 'spider', 'pigeon']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
dolphin,snail,pigeon,eagle,dog,cat,goldfish,turkey,hog,"['stim4', 'stim5', 'stim8', 'stim6', 'stim7', 'stim3', 'stim2', 'stim1']","['dog', 'cat', 'hog', 'goldfish', 'turkey', 'eagle', 'pigeon', 'snail']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
cow,dog,dolphin,monkey,bear,fox,eagle,ant,tiger,"['stim5', 'stim1', 'stim4', 'stim8', 'stim3', 'stim2', 'stim6', 'stim7']","['fox', 'dog', 'bear', 'tiger', 'monkey', 'dolphin', 'eagle', 'ant']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
shark,bat,butterfly,crocodile,mouse,monkey,fox,sparrow,giraffe,"['stim3', 'stim5', 'stim8', 'stim6', 'stim4', 'stim1', 'stim7', 'stim2']","['crocodile', 'monkey', 'giraffe', 'fox', 'mouse', 'bat', 'sparrow', 'butterfly']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
ant,lizard,dolphin,bat,shark,whale,mouse,sheep,dog,"['stim1', 'stim6', 'stim3', 'stim7', 'stim8', 'stim2', 'stim5', 'stim4']","['lizard', 'mouse', 'bat', 'sheep', 'dog', 'dolphin', 'whale', 'shark']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
bear,tiger,giraffe,horse,turkey,hog,ladybug,rat,monkey,"['stim1', 'stim3', 'stim2', 'stim5', 'stim8', 'stim7', 'stim4', 'stim6']","['tiger', 'horse', 'giraffe', 'hog', 'monkey', 'rat', 'turkey', 'ladybug']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
butterfly,bat,lizard,monkey,turkey,crocodile,turtle,whale,shark,"['stim1', 'stim2', 'stim6', 'stim4', 'stim5', 'stim3', 'stim7', 'stim8']","['bat', 'lizard', 'turtle', 'turkey', 'crocodile', 'monkey', 'whale', 'shark']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
dog,goldfish,horse,snail,shark,fox,turtle,rat,sparrow,"['stim5', 'stim2', 'stim7', 'stim6', 'stim4', 'stim8', 'stim1', 'stim3']","['fox', 'horse', 'rat', 'turtle', 'shark', 'sparrow', 'goldfish', 'snail']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
tiger,goat,ant,fox,snake,turtle,pigeon,eagle,lizard,"['stim3', 'stim1', 'stim4', 'stim5', 'stim7', 'stim8', 'stim6', 'stim2']","['fox', 'goat', 'snake', 'turtle', 'eagle', 'lizard', 'pigeon', 'ant']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
goldfish,snake,sheep,crocodile,bat,horse,bluebird,snail,sparrow,"['stim7', 'stim1', 'stim4', 'stim6', 'stim8', 'stim3', 'stim2', 'stim5']","['snail', 'snake', 'bat', 'bluebird', 'sparrow', 'crocodile', 'sheep', 'horse']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
sheep,owl,mouse,snake,cat,elephant,bluebird,tiger,shark,"['stim4', 'stim2', 'stim5', 'stim7', 'stim1', 'stim6', 'stim8', 'stim3']","['cat', 'mouse', 'elephant', 'tiger', 'owl', 'bluebird', 'shark', 'snake']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
monkey,mouse,goldfish,elephant,fox,goat,turkey,lizard,giraffe,"['stim3', 'stim8', 'stim4', 'stim5', 'stim1', 'stim7', 'stim6', 'stim2']","['elephant', 'giraffe', 'fox', 'goat', 'mouse', 'lizard', 'turkey', 'goldfish']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
sparrow,bat,snake,giraffe,bear,sheep,goldfish,tiger,dolphin,"['stim1', 'stim5', 'stim6', 'stim2', 'stim4', 'stim3', 'stim8', 'stim7']","['bat', 'sheep', 'goldfish', 'snake', 'bear', 'giraffe', 'dolphin', 'tiger']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
duck,ladybug,sparrow,fox,monkey,hog,shark,snake,dog,"['stim2', 'stim5', 'stim8', 'stim3', 'stim7', 'stim4', 'stim1', 'stim6']","['sparrow', 'hog', 'dog', 'fox', 'snake', 'monkey', 'ladybug', 'shark']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
sheep,cow,sparrow,crocodile,snail,ladybug,bear,pigeon,bat,"['stim1', 'stim6', 'stim8', 'stim3', 'stim7', 'stim2', 'stim4', 'stim5']","['cow', 'bear', 'bat', 'crocodile', 'pigeon', 'sparrow', 'snail', 'ladybug']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
