ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
crocodile,snake,shark,hog,dog,turtle,horse,spider,fox
pigeon,monkey,ant,dog,duck,butterfly,sparrow,bat,dolphin
crocodile,butterfly,sparrow,tiger,turkey,bear,duck,frog,cow
cow,ant,eagle,dog,monkey,tiger,dolphin,fox,bear
fox,frog,horse,dog,eagle,pigeon,bluebird,sparrow,snake
sparrow,tiger,goldfish,bat,giraffe,dolphin,snake,sheep,bear
hog,snake,ant,cow,spider,elephant,bluebird,crocodile,dog
spider,eagle,goldfish,pigeon,whale,shark,bear,crocodile,butterfly
shark,sparrow,fox,bat,crocodile,giraffe,butterfly,monkey,mouse
ant,dolphin,crocodile,lizard,turkey,turtle,bear,frog,bluebird
monkey,owl,pigeon,frog,dog,snake,sheep,horse,cat
eagle,goldfish,frog,dog,lizard,shark,turtle,monkey,ladybug
dolphin,frog,spider,cow,tiger,bluebird,turtle,duck,ant
spider,dolphin,goldfish,snake,turkey,pigeon,sheep,owl,horse
pigeon,spider,goldfish,ant,dolphin,snail,cow,rat,cat
bluebird,tiger,shark,elephant,ladybug,pigeon,whale,ant,snake
snake,horse,turtle,fox,crocodile,sheep,turkey,monkey,whale
dolphin,turkey,goldfish,snail,eagle,hog,pigeon,cat,dog
cow,duck,pigeon,ladybug,goldfish,shark,snake,frog,bat
cow,butterfly,hog,giraffe,ant,horse,bear,cat,owl
tiger,eagle,pigeon,goat,fox,lizard,ant,turtle,snake
snail,tiger,turtle,horse,mouse,whale,snake,sheep,dolphin
butterfly,frog,cow,goldfish,eagle,fox,duck,ladybug,mouse
tiger,whale,fox,dolphin,ant,bat,crocodile,dog,sparrow
owl,duck,goat,fox,hog,horse,bat,snake,whale
cat,pigeon,rat,lizard,whale,bluebird,ladybug,bat,owl
snail,spider,monkey,dolphin,rat,cow,ant,cat,tiger
mouse,butterfly,lizard,goat,duck,snail,eagle,crocodile,cat
whale,tiger,snail,giraffe,hog,spider,bat,pigeon,bluebird
monkey,lizard,turkey,mouse,elephant,giraffe,goldfish,goat,fox
dolphin,bat,giraffe,mouse,crocodile,snail,ladybug,hog,rat
shark,pigeon,rat,owl,cat,frog,spider,whale,sheep
crocodile,rat,duck,cat,lizard,giraffe,elephant,sparrow,whale
dolphin,fox,sheep,bat,bear,goat,turtle,tiger,ladybug
rat,dolphin,ladybug,crocodile,owl,duck,turtle,monkey,goldfish
turtle,pigeon,cat,duck,whale,lizard,sheep,goldfish,rat
goldfish,frog,turkey,shark,snake,eagle,ladybug,snail,dolphin
horse,monkey,cow,eagle,fox,mouse,tiger,bat,whale
fox,goat,pigeon,bluebird,bear,giraffe,tiger,goldfish,dolphin
spider,ant,giraffe,duck,snail,mouse,turtle,dog,tiger
goldfish,fox,giraffe,bear,tiger,rat,bat,owl,horse
duck,sheep,butterfly,ant,eagle,lizard,turkey,horse,goldfish
shark,turkey,cat,goat,dog,bear,whale,sparrow,monkey
sheep,monkey,owl,dolphin,snake,frog,turtle,spider,hog
whale,ant,owl,dolphin,duck,lizard,cow,butterfly,shark
dog,snail,turkey,crocodile,spider,sheep,duck,horse,snake
mouse,bluebird,turtle,owl,dolphin,snake,fox,sheep,monkey
goldfish,duck,tiger,dog,goat,cow,giraffe,pigeon,lizard
pigeon,giraffe,whale,crocodile,sheep,bear,ladybug,frog,fox
shark,turtle,horse,goldfish,tiger,cow,hog,dolphin,ladybug
frog,fox,butterfly,mouse,rat,bluebird,eagle,goat,crocodile
hog,goat,turkey,sparrow,bear,horse,goldfish,fox,ladybug
mouse,frog,spider,elephant,turkey,ant,bat,dog,giraffe
goat,sparrow,spider,sheep,snail,giraffe,bat,dolphin,elephant
horse,goat,bluebird,giraffe,turkey,turtle,sheep,owl,crocodile
turtle,ladybug,lizard,owl,bear,dog,monkey,eagle,sheep
