ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
shark,sparrow,bat,monkey,fox,giraffe,butterfly,crocodile,mouse,"['stim7', 'stim4', 'stim5', 'stim3', 'stim2', 'stim8', 'stim6', 'stim1']","['crocodile', 'fox', 'giraffe', 'monkey', 'bat', 'mouse', 'butterfly', 'sparrow']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
snake,monkey,butterfly,spider,sparrow,ladybug,dolphin,ant,turtle,"['stim7', 'stim3', 'stim8', 'stim2', 'stim6', 'stim5', 'stim1', 'stim4']","['ant', 'spider', 'turtle', 'butterfly', 'dolphin', 'ladybug', 'monkey', 'sparrow']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
elephant,hog,lizard,cat,goat,turkey,ladybug,ant,whale,"['stim8', 'stim3', 'stim1', 'stim4', 'stim5', 'stim2', 'stim7', 'stim6']","['whale', 'cat', 'hog', 'goat', 'turkey', 'lizard', 'ant', 'ladybug']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
whale,tiger,giraffe,pigeon,snail,spider,bat,hog,bluebird,"['stim1', 'stim2', 'stim7', 'stim6', 'stim3', 'stim8', 'stim4', 'stim5']","['tiger', 'giraffe', 'hog', 'bat', 'pigeon', 'bluebird', 'snail', 'spider']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
frog,owl,tiger,snake,cat,hog,cow,dog,snail,"['stim3', 'stim8', 'stim5', 'stim6', 'stim4', 'stim7', 'stim1', 'stim2']","['snake', 'snail', 'hog', 'cow', 'cat', 'dog', 'owl', 'tiger']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
eagle,sheep,dolphin,pigeon,bear,crocodile,giraffe,mouse,rat,"['stim3', 'stim8', 'stim7', 'stim1', 'stim6', 'stim5', 'stim4', 'stim2']","['pigeon', 'rat', 'mouse', 'sheep', 'giraffe', 'crocodile', 'bear', 'dolphin']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
frog,fox,mouse,goat,butterfly,bluebird,eagle,rat,crocodile,"['stim8', 'stim2', 'stim7', 'stim4', 'stim3', 'stim6', 'stim5', 'stim1']","['crocodile', 'mouse', 'rat', 'butterfly', 'goat', 'eagle', 'bluebird', 'fox']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
giraffe,crocodile,goldfish,shark,eagle,cow,bear,tiger,pigeon,"['stim7', 'stim6', 'stim5', 'stim1', 'stim8', 'stim4', 'stim3', 'stim2']","['tiger', 'bear', 'cow', 'crocodile', 'pigeon', 'eagle', 'shark', 'goldfish']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
fox,turtle,goat,cat,lizard,ant,bat,ladybug,dolphin,"['stim3', 'stim2', 'stim8', 'stim6', 'stim4', 'stim1', 'stim5', 'stim7']","['cat', 'goat', 'dolphin', 'bat', 'lizard', 'turtle', 'ant', 'ladybug']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
snake,horse,fox,monkey,turtle,sheep,turkey,crocodile,whale,"['stim4', 'stim7', 'stim8', 'stim5', 'stim6', 'stim2', 'stim1', 'stim3']","['turtle', 'crocodile', 'whale', 'sheep', 'turkey', 'fox', 'horse', 'monkey']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
lizard,bat,cow,shark,snail,hog,bear,dog,fox,"['stim4', 'stim1', 'stim5', 'stim2', 'stim7', 'stim8', 'stim3', 'stim6']","['snail', 'bat', 'hog', 'cow', 'dog', 'fox', 'shark', 'bear']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
rat,bat,sheep,cat,eagle,ladybug,turtle,horse,whale,"['stim3', 'stim1', 'stim2', 'stim7', 'stim6', 'stim4', 'stim5', 'stim8']","['cat', 'bat', 'sheep', 'horse', 'turtle', 'eagle', 'ladybug', 'whale']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
