ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
duck,dolphin,cat,monkey,goat,snail,elephant,fox,rat
lizard,goldfish,dog,rat,ant,fox,elephant,spider,giraffe
shark,goldfish,turtle,tiger,hog,ladybug,dolphin,cow,horse
ladybug,shark,lizard,cat,bat,owl,ant,bluebird,goldfish
butterfly,dolphin,monkey,cat,horse,whale,sparrow,snake,giraffe
ant,duck,spider,butterfly,rat,giraffe,horse,goldfish,fox
pigeon,tiger,ladybug,spider,eagle,whale,turtle,horse,snail
shark,bat,sparrow,crocodile,butterfly,mouse,monkey,giraffe,fox
snake,hog,cat,bear,elephant,lizard,turkey,eagle,crocodile
sheep,cow,goldfish,ant,butterfly,bluebird,elephant,duck,bat
butterfly,ladybug,goat,giraffe,duck,bluebird,dolphin,elephant,hog
owl,horse,turtle,tiger,shark,fox,pigeon,crocodile,bluebird
crocodile,bluebird,snail,rat,snake,ant,horse,giraffe,owl
goat,tiger,lizard,monkey,shark,snake,dog,fox,pigeon
turtle,monkey,ladybug,dolphin,tiger,mouse,fox,bat,frog
cat,crocodile,mouse,frog,goldfish,lizard,ladybug,duck,sparrow
elephant,lizard,hog,ant,ladybug,whale,cat,turkey,goat
pigeon,elephant,mouse,crocodile,bluebird,bear,owl,turkey,shark
frog,butterfly,goldfish,snail,spider,dog,fox,sheep,lizard
ladybug,turkey,butterfly,crocodile,horse,bluebird,cow,goldfish,sparrow
hog,cow,snake,spider,bluebird,dog,crocodile,elephant,ant
giraffe,monkey,goat,bat,crocodile,duck,turkey,pigeon,ladybug
bear,turtle,hog,duck,mouse,turkey,sheep,bluebird,dolphin
bluebird,hog,monkey,frog,lizard,horse,bear,cow,dog
cow,tiger,goldfish,lizard,frog,eagle,sparrow,turkey,rat
bear,horse,pigeon,cat,lizard,ant,sparrow,owl,giraffe
pigeon,crocodile,giraffe,sheep,ladybug,fox,frog,bear,whale
monkey,mouse,lizard,elephant,goldfish,fox,goat,giraffe,turkey
eagle,pigeon,duck,cat,whale,butterfly,goat,mouse,hog
fox,hog,sheep,cat,elephant,ant,spider,mouse,snail
monkey,whale,lizard,goat,ladybug,bear,snail,sparrow,hog
horse,dolphin,owl,rat,ladybug,snail,cat,turtle,pigeon
giraffe,goldfish,crocodile,tiger,bear,pigeon,shark,cow,eagle
bear,cow,shark,elephant,eagle,turtle,dog,crocodile,duck
duck,mouse,giraffe,dog,spider,cow,turtle,crocodile,shark
bluebird,elephant,tiger,ladybug,whale,snake,ant,pigeon,shark
sheep,cow,pigeon,crocodile,sparrow,snail,ladybug,bat,bear
rat,lizard,cow,tiger,ant,frog,pigeon,mouse,hog
fox,owl,snail,duck,crocodile,spider,butterfly,turkey,shark
monkey,frog,owl,dog,sheep,cat,horse,snake,pigeon
ladybug,mouse,eagle,shark,hog,dolphin,fox,duck,cat
bluebird,rat,monkey,shark,spider,cat,snake,dog,owl
fox,bluebird,goat,bear,tiger,dolphin,goldfish,giraffe,pigeon
bat,turkey,cat,tiger,pigeon,snake,horse,duck,snail
butterfly,bat,whale,monkey,lizard,turkey,crocodile,shark,turtle
bat,spider,shark,goldfish,dog,giraffe,whale,frog,hog
frog,duck,ant,turkey,bear,sparrow,hog,bat,cat
elephant,snake,duck,goldfish,spider,cow,pigeon,horse,fox
goat,bear,butterfly,crocodile,cat,bluebird,turtle,snake,shark
spider,duck,ant,snail,turtle,tiger,dog,mouse,giraffe
mouse,owl,bluebird,dolphin,fox,monkey,sheep,snake,turtle
