ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
crocodile,snake,shark,hog,dog,turtle,horse,spider,fox,"['stim1', 'stim5', 'stim3', 'stim8', 'stim4', 'stim6', 'stim7', 'stim2']","['snake', 'turtle', 'hog', 'fox', 'dog', 'horse', 'spider', 'shark']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
pigeon,monkey,ant,dog,duck,butterfly,sparrow,bat,dolphin,"['stim6', 'stim4', 'stim7', 'stim3', 'stim1', 'stim5', 'stim8', 'stim2']","['sparrow', 'duck', 'bat', 'dog', 'monkey', 'butterfly', 'dolphin', 'ant']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
crocodile,butterfly,sparrow,tiger,turkey,bear,duck,frog,cow,"['stim7', 'stim8', 'stim3', 'stim5', 'stim6', 'stim4', 'stim2', 'stim1']","['frog', 'cow', 'tiger', 'bear', 'duck', 'turkey', 'sparrow', 'butterfly']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
cow,ant,eagle,dog,monkey,tiger,dolphin,fox,bear,"['stim7', 'stim3', 'stim8', 'stim5', 'stim4', 'stim6', 'stim2', 'stim1']","['fox', 'dog', 'bear', 'tiger', 'monkey', 'dolphin', 'eagle', 'ant']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
fox,frog,horse,dog,eagle,pigeon,bluebird,sparrow,snake,"['stim3', 'stim2', 'stim1', 'stim4', 'stim5', 'stim7', 'stim6', 'stim8']","['dog', 'horse', 'frog', 'eagle', 'pigeon', 'sparrow', 'bluebird', 'snake']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
sparrow,tiger,goldfish,bat,giraffe,dolphin,snake,sheep,bear,"['stim3', 'stim7', 'stim2', 'stim6', 'stim4', 'stim8', 'stim5', 'stim1']","['bat', 'sheep', 'goldfish', 'snake', 'giraffe', 'bear', 'dolphin', 'tiger']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
hog,snake,ant,cow,spider,elephant,bluebird,crocodile,dog,"['stim3', 'stim8', 'stim5', 'stim7', 'stim1', 'stim6', 'stim2', 'stim4']","['cow', 'dog', 'elephant', 'crocodile', 'snake', 'bluebird', 'ant', 'spider']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
spider,eagle,goldfish,pigeon,whale,shark,bear,crocodile,butterfly,"['stim8', 'stim2', 'stim7', 'stim3', 'stim1', 'stim5', 'stim6', 'stim4']","['butterfly', 'goldfish', 'crocodile', 'pigeon', 'eagle', 'shark', 'bear', 'whale']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
shark,sparrow,fox,bat,crocodile,giraffe,butterfly,monkey,mouse,"['stim4', 'stim2', 'stim5', 'stim7', 'stim8', 'stim3', 'stim1', 'stim6']","['crocodile', 'fox', 'giraffe', 'monkey', 'mouse', 'bat', 'sparrow', 'butterfly']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
ant,dolphin,crocodile,lizard,turkey,turtle,bear,frog,bluebird,"['stim3', 'stim5', 'stim2', 'stim7', 'stim8', 'stim4', 'stim6', 'stim1']","['lizard', 'turtle', 'crocodile', 'frog', 'bluebird', 'turkey', 'bear', 'dolphin']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
monkey,owl,pigeon,frog,dog,snake,sheep,horse,cat,"['stim4', 'stim8', 'stim7', 'stim6', 'stim1', 'stim2', 'stim3', 'stim5']","['dog', 'cat', 'horse', 'sheep', 'owl', 'pigeon', 'frog', 'snake']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
