ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
dog,bear,elephant,lizard,eagle,frog,butterfly,giraffe,bluebird
shark,owl,spider,cat,sheep,whale,rat,pigeon,frog
dolphin,snail,pigeon,eagle,dog,cat,goldfish,turkey,hog
cow,dog,dolphin,monkey,bear,fox,eagle,ant,tiger
shark,bat,butterfly,crocodile,mouse,monkey,fox,sparrow,giraffe
ant,lizard,dolphin,bat,shark,whale,mouse,sheep,dog
bear,tiger,giraffe,horse,turkey,hog,ladybug,rat,monkey
butterfly,bat,lizard,monkey,turkey,crocodile,turtle,whale,shark
dog,goldfish,horse,snail,shark,fox,turtle,rat,sparrow
tiger,goat,ant,fox,snake,turtle,pigeon,eagle,lizard
goldfish,snake,sheep,crocodile,bat,horse,bluebird,snail,sparrow
sheep,owl,mouse,snake,cat,elephant,bluebird,tiger,shark
monkey,mouse,goldfish,elephant,fox,goat,turkey,lizard,giraffe
sparrow,bat,snake,giraffe,bear,sheep,goldfish,tiger,dolphin
duck,ladybug,sparrow,fox,monkey,hog,shark,snake,dog
sheep,cow,sparrow,crocodile,snail,ladybug,bear,pigeon,bat
mouse,owl,fox,dolphin,monkey,sheep,turtle,bluebird,snake
bat,sparrow,rat,bear,goldfish,goat,lizard,spider,dolphin
crocodile,pigeon,dolphin,ladybug,sheep,cow,goldfish,goat,turkey
snake,snail,bear,frog,elephant,cow,shark,giraffe,dog
turtle,turkey,giraffe,bluebird,crocodile,cow,shark,goat,elephant
butterfly,goldfish,duck,eagle,mouse,ladybug,cow,frog,fox
snail,hog,bluebird,frog,butterfly,crocodile,giraffe,shark,goat
cat,crocodile,goldfish,frog,lizard,ladybug,sparrow,mouse,duck
owl,bear,butterfly,dolphin,frog,monkey,rat,eagle,dog
pigeon,snake,goat,elephant,monkey,bat,hog,lizard,bluebird
snake,hog,elephant,bear,lizard,turkey,crocodile,cat,eagle
giraffe,goldfish,bear,tiger,pigeon,shark,eagle,crocodile,cow
eagle,tiger,rat,dolphin,owl,bat,fox,bluebird,spider
whale,dolphin,cow,duck,shark,butterfly,owl,ant,lizard
turkey,dolphin,lizard,butterfly,goat,sparrow,cow,owl,dog
fox,hog,elephant,cat,ant,spider,snail,sheep,mouse
frog,mouse,eagle,rat,crocodile,goat,butterfly,fox,bluebird
bluebird,duck,ladybug,snail,mouse,goat,eagle,giraffe,ant
elephant,snake,spider,goldfish,cow,pigeon,fox,duck,horse
goldfish,shark,ladybug,snake,dolphin,snail,turkey,frog,eagle
frog,tiger,cow,dog,snail,snake,cat,owl,hog
goldfish,ladybug,elephant,ant,mouse,turtle,butterfly,turkey,whale
spider,duck,turtle,snail,tiger,dog,giraffe,ant,mouse
goldfish,bear,bat,tiger,horse,owl,giraffe,fox,rat
lizard,frog,snake,sparrow,turtle,turkey,crocodile,bat,shark
rat,crocodile,turtle,owl,goldfish,monkey,ladybug,dolphin,duck
duck,turkey,frog,cow,turtle,tiger,pigeon,bear,lizard
snail,lizard,sparrow,owl,dog,goat,frog,goldfish,turkey
hog,sparrow,goldfish,bear,ladybug,fox,turkey,goat,horse
ladybug,mouse,hog,shark,dolphin,fox,cat,eagle,duck
pigeon,dog,sparrow,duck,dolphin,bat,ant,monkey,butterfly
horse,bear,elephant,sparrow,dolphin,pigeon,cow,monkey,snake
pigeon,elephant,bluebird,crocodile,bear,owl,shark,mouse,turkey
owl,horse,shark,tiger,fox,pigeon,bluebird,turtle,crocodile
bat,crocodile,snail,snake,lizard,rat,sheep,fox,turtle
lizard,goldfish,ant,rat,fox,elephant,giraffe,dog,spider
giraffe,dolphin,bluebird,sparrow,fox,butterfly,rat,frog,horse
dolphin,mouse,ladybug,crocodile,rat,hog,giraffe,bat,snail
tiger,dolphin,crocodile,ant,sparrow,dog,fox,whale,bat
horse,turkey,butterfly,duck,spider,goldfish,hog,sheep,ant
butterfly,dolphin,horse,cat,whale,sparrow,giraffe,monkey,snake
sheep,turkey,rat,dog,hog,goat,fox,horse,dolphin
sparrow,snail,rat,monkey,eagle,ant,horse,lizard,bluebird
whale,bluebird,sparrow,goat,frog,snake,elephant,crocodile,tiger
sparrow,turtle,rat,whale,spider,elephant,horse,mouse,pigeon
lizard,mouse,owl,pigeon,cat,duck,ladybug,tiger,dolphin
ladybug,turkey,horse,crocodile,bluebird,cow,sparrow,butterfly,goldfish
mouse,elephant,bat,turkey,giraffe,dog,spider,frog,ant
