ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
sparrow,mouse,horse,turtle,whale,pigeon,rat,elephant,spider,"['stim5', 'stim1', 'stim6', 'stim3', 'stim2', 'stim7', 'stim4', 'stim8']","['pigeon', 'mouse', 'rat', 'turtle', 'horse', 'elephant', 'whale', 'spider']",S4,9,2021_Oct_28_1423,image_exp,3.2.4,59.98428568
mouse,sparrow,hog,monkey,bear,lizard,ladybug,fox,butterfly,"['stim2', 'stim7', 'stim4', 'stim3', 'stim5', 'stim1', 'stim6', 'stim8']","['hog', 'fox', 'bear', 'monkey', 'lizard', 'sparrow', 'ladybug', 'butterfly']",S4,9,2021_Oct_28_1423,image_exp,3.2.4,59.98428568
fox,sheep,snail,hog,cat,mouse,elephant,spider,ant,"['stim1', 'stim3', 'stim4', 'stim5', 'stim6', 'stim8', 'stim2', 'stim7']","['sheep', 'hog', 'cat', 'mouse', 'elephant', 'ant', 'snail', 'spider']",S4,9,2021_Oct_28_1423,image_exp,3.2.4,59.98428568
mouse,dog,ant,horse,pigeon,snail,duck,tiger,shark,"['stim1', 'stim3', 'stim7', 'stim6', 'stim4', 'stim2', 'stim5', 'stim8']","['dog', 'horse', 'tiger', 'duck', 'pigeon', 'ant', 'snail', 'shark']",S4,9,2021_Oct_28_1423,image_exp,3.2.4,59.98428568
crocodile,snail,owl,bluebird,rat,giraffe,snake,horse,ant,"['stim6', 'stim8', 'stim1', 'stim4', 'stim5', 'stim7', 'stim2', 'stim3']","['snake', 'ant', 'snail', 'rat', 'giraffe', 'horse', 'owl', 'bluebird']",S4,9,2021_Oct_28_1423,image_exp,3.2.4,59.98428568
elephant,duck,fox,snake,goldfish,horse,spider,pigeon,cow,"['stim5', 'stim8', 'stim2', 'stim3', 'stim1', 'stim7', 'stim4', 'stim6']","['horse', 'cow', 'fox', 'snake', 'duck', 'pigeon', 'goldfish', 'spider']",S4,9,2021_Oct_28_1423,image_exp,3.2.4,59.98428568
crocodile,dog,mouse,pigeon,eagle,dolphin,monkey,bat,fox,"['stim8', 'stim1', 'stim2', 'stim6', 'stim5', 'stim7', 'stim4', 'stim3']","['fox', 'dog', 'mouse', 'monkey', 'dolphin', 'bat', 'eagle', 'pigeon']",S4,9,2021_Oct_28_1423,image_exp,3.2.4,59.98428568
pigeon,lizard,hog,snake,elephant,bluebird,goat,bat,monkey,"['stim5', 'stim7', 'stim1', 'stim2', 'stim6', 'stim3', 'stim4', 'stim8']","['bluebird', 'bat', 'lizard', 'hog', 'goat', 'snake', 'elephant', 'monkey']",S4,9,2021_Oct_28_1423,image_exp,3.2.4,59.98428568
bear,shark,duck,cow,elephant,crocodile,eagle,dog,turtle,"['stim4', 'stim3', 'stim7', 'stim1', 'stim5', 'stim2', 'stim8', 'stim6']","['elephant', 'cow', 'dog', 'shark', 'crocodile', 'duck', 'turtle', 'eagle']",S4,9,2021_Oct_28_1423,image_exp,3.2.4,59.98428568
giraffe,goat,ladybug,monkey,bat,pigeon,crocodile,turkey,duck,"['stim3', 'stim1', 'stim4', 'stim6', 'stim7', 'stim8', 'stim5', 'stim2']","['monkey', 'goat', 'bat', 'crocodile', 'turkey', 'duck', 'pigeon', 'ladybug']",S4,9,2021_Oct_28_1423,image_exp,3.2.4,59.98428568
